LineString,Time
"LINESTRING(-0.063272 51.518341, -0.063348 51.518325)",
"LINESTRING(-0.063348 51.518325, -0.063404 51.518309)",
"LINESTRING(-0.063404 51.518309, -0.063835 51.518192)",
"LINESTRING(-0.063835 51.518192, -0.06446 51.51802)",08:00
"LINESTRING(-0.06446 51.51802, -0.064846 51.51792)",
"LINESTRING(-0.064846 51.51792, -0.06498 51.517886)",
"LINESTRING(-0.06498 51.517886, -0.065012 51.517877)",
"LINESTRING(-0.065012 51.517877, -0.065112 51.517847)",
"LINESTRING(-0.065112 51.517847, -0.065242 51.517807)",
"LINESTRING(-0.065242 51.517807, -0.065402 51.517764)",
"LINESTRING(-0.065402 51.517764, -0.065566 51.517712)",
"LINESTRING(-0.065566 51.517712, -0.065662 51.517684)",
"LINESTRING(-0.065662 51.517684, -0.065764 51.517654)",
"LINESTRING(-0.065764 51.517654, -0.06581 51.51764)",
"LINESTRING(-0.06581 51.51764, -0.065913 51.517614)",
"LINESTRING(-0.065913 51.517614, -0.066073 51.517564)",
"LINESTRING(-0.066073 51.517564, -0.066173 51.517529)",
"LINESTRING(-0.066173 51.517529, -0.066701 51.51736)",
"LINESTRING(-0.066701 51.51736, -0.066878 51.517294)",
"LINESTRING(-0.066878 51.517294, -0.066964 51.517261)",
"LINESTRING(-0.066964 51.517261, -0.067113 51.517212)",
"LINESTRING(-0.067113 51.517212, -0.067217 51.517173)",
"LINESTRING(-0.067217 51.517173, -0.067272 51.517149)",
"LINESTRING(-0.067272 51.517149, -0.067348 51.51712)",
"LINESTRING(-0.067348 51.51712, -0.06739 51.517103)",
"LINESTRING(-0.06739 51.517103, -0.067557 51.517037)",
"LINESTRING(-0.067557 51.517037, -0.067737 51.516961)",
"LINESTRING(-0.067737 51.516961, -0.067874 51.516902)",
"LINESTRING(-0.067874 51.516902, -0.068104 51.516797)",
"LINESTRING(-0.068104 51.516797, -0.068149 51.516776)",
"LINESTRING(-0.068149 51.516776, -0.068322 51.516697)",
"LINESTRING(-0.068322 51.516697, -0.068418 51.516653)",
"LINESTRING(-0.068418 51.516653, -0.068485 51.516622)",09:00
"LINESTRING(-0.068485 51.516622, -0.068798 51.516478)",
"LINESTRING(-0.068798 51.516478, -0.069009 51.51638)",
"LINESTRING(-0.069009 51.51638, -0.069213 51.516285)",
"LINESTRING(-0.069213 51.516285, -0.069295 51.51625)",
"LINESTRING(-0.069295 51.51625, -0.069359 51.516223)",
"LINESTRING(-0.069359 51.516223, -0.069396 51.516206)",
"LINESTRING(-0.069396 51.516206, -0.069488 51.516163)",
"LINESTRING(-0.069488 51.516163, -0.06958 51.516123)",
"LINESTRING(-0.06958 51.516123, -0.06964 51.516096)",
"LINESTRING(-0.06964 51.516096, -0.069668 51.516038)",
"LINESTRING(-0.069668 51.516038, -0.069731 51.516009)",
"LINESTRING(-0.069731 51.516009, -0.069777 51.515984)",
"LINESTRING(-0.069777 51.515984, -0.069916 51.515919)",
"LINESTRING(-0.069916 51.515919, -0.070038 51.5159)",
"LINESTRING(-0.070038 51.5159, -0.0701 51.515874)",
"LINESTRING(-0.0701 51.515874, -0.070255 51.515809)",
"LINESTRING(-0.070255 51.515809, -0.070262 51.515741)",
"LINESTRING(-0.070262 51.515741, -0.070307 51.515722)",
"LINESTRING(-0.070307 51.515722, -0.0704 51.515682)",
"LINESTRING(-0.0704 51.515682, -0.070409 51.515678)",
"LINESTRING(-0.070409 51.515678, -0.070409 51.515678)",
"LINESTRING(-0.070409 51.515678, -0.070458 51.515659)",
"LINESTRING(-0.070458 51.515659, -0.070482 51.51565)",
"LINESTRING(-0.070482 51.51565, -0.070636 51.515597)",
"LINESTRING(-0.070636 51.515597, -0.07092 51.515495)",
"LINESTRING(-0.07092 51.515495, -0.07101 51.515468)",
"LINESTRING(-0.07101 51.515468, -0.071509 51.515282)",
"LINESTRING(-0.071509 51.515282, -0.071575 51.515258)",
"LINESTRING(-0.071575 51.515258, -0.071737 51.515204)",
"LINESTRING(-0.071737 51.515204, -0.071817 51.515175)",
"LINESTRING(-0.071817 51.515175, -0.071966 51.515116)",
"LINESTRING(-0.071966 51.515116, -0.072028 51.515098)",
"LINESTRING(-0.072028 51.515098, -0.072048 51.515092)",
"LINESTRING(-0.072048 51.515092, -0.072118 51.515071)",
"LINESTRING(-0.072118 51.515071, -0.072144 51.515039)",
"LINESTRING(-0.072144 51.515039, -0.072574 51.514895)",10:00
"LINESTRING(-0.072574 51.514895, -0.072848 51.514797)",
"LINESTRING(-0.072848 51.514797, -0.073166 51.514653)",
"LINESTRING(-0.073166 51.514653, -0.073227 51.514634)",
"LINESTRING(-0.073227 51.514634, -0.073371 51.514676)",
"LINESTRING(-0.073371 51.514676, -0.073464 51.514636)",
"LINESTRING(-0.073464 51.514636, -0.073596 51.514584)",
"LINESTRING(-0.073596 51.514584, -0.073595 51.514578)",
"LINESTRING(-0.073595 51.514578, -0.073595 51.514572)",
"LINESTRING(-0.073595 51.514572, -0.073596 51.514565)",
"LINESTRING(-0.073596 51.514565, -0.073597 51.514558)",
"LINESTRING(-0.073597 51.514558, -0.073602 51.514546)",
"LINESTRING(-0.073602 51.514546, -0.073605 51.51454)",
"LINESTRING(-0.073605 51.51454, -0.073611 51.514535)",
"LINESTRING(-0.073611 51.514535, -0.073649 51.514516)",
"LINESTRING(-0.073649 51.514516, -0.07367 51.514509)",
"LINESTRING(-0.07367 51.514509, -0.073702 51.514498)",
"LINESTRING(-0.073702 51.514498, -0.07383 51.514459)",
"LINESTRING(-0.07383 51.514459, -0.073838 51.514458)",
"LINESTRING(-0.073838 51.514458, -0.073847 51.514459)",
"LINESTRING(-0.073847 51.514459, -0.073861 51.51446)",
"LINESTRING(-0.073861 51.51446, -0.07392 51.514471)",
"LINESTRING(-0.07392 51.514471, -0.073958 51.514478)",
"LINESTRING(-0.073958 51.514478, -0.073966 51.514479)",
"LINESTRING(-0.073966 51.514479, -0.073974 51.514481)",
"LINESTRING(-0.073974 51.514481, -0.073988 51.514485)",
"LINESTRING(-0.073988 51.514485, -0.074193 51.514424)",
"LINESTRING(-0.074193 51.514424, -0.074239 51.514408)",
"LINESTRING(-0.074239 51.514408, -0.074308 51.514387)",
"LINESTRING(-0.074308 51.514387, -0.074343 51.514375)",
"LINESTRING(-0.074343 51.514375, -0.07444 51.514343)",
"LINESTRING(-0.07444 51.514343, -0.074572 51.514296)",
"LINESTRING(-0.074572 51.514296, -0.074754 51.514231)",
"LINESTRING(-0.074754 51.514231, -0.074827 51.514204)",
"LINESTRING(-0.074827 51.514204, -0.074922 51.514176)",
"LINESTRING(-0.074922 51.514176, -0.075152 51.514087)",
"LINESTRING(-0.075152 51.514087, -0.075214 51.514062)",
"LINESTRING(-0.075214 51.514062, -0.075242 51.514049)",
"LINESTRING(-0.075242 51.514049, -0.075298 51.514028)",
"LINESTRING(-0.075298 51.514028, -0.075406 51.513994)",
"LINESTRING(-0.075406 51.513994, -0.075463 51.513976)",
"LINESTRING(-0.075463 51.513976, -0.075528 51.513954)",
"LINESTRING(-0.075528 51.513954, -0.075774 51.513868)",
"LINESTRING(-0.075774 51.513868, -0.076106 51.513759)",11:00
"LINESTRING(-0.076106 51.513759, -0.076376 51.513678)",
"LINESTRING(-0.076376 51.513678, -0.076449 51.513655)",
"LINESTRING(-0.076449 51.513655, -0.076522 51.513631)",
"LINESTRING(-0.076522 51.513631, -0.076587 51.513612)",
"LINESTRING(-0.076587 51.513612, -0.076661 51.513588)",
"LINESTRING(-0.076661 51.513588, -0.076713 51.513573)",
"LINESTRING(-0.076713 51.513573, -0.076747 51.513539)",
"LINESTRING(-0.076747 51.513539, -0.076777 51.513528)",
"LINESTRING(-0.076777 51.513528, -0.07685 51.513505)",
"LINESTRING(-0.07685 51.513505, -0.076911 51.513489)",
"LINESTRING(-0.076911 51.513489, -0.076968 51.51347)",
"LINESTRING(-0.076968 51.51347, -0.077058 51.513428)",
"LINESTRING(-0.077058 51.513428, -0.0771 51.513408)",
"LINESTRING(-0.0771 51.513408, -0.077181 51.513375)",
"LINESTRING(-0.077181 51.513375, -0.077456 51.513276)",
"LINESTRING(-0.077456 51.513276, -0.077473 51.51327)",
"LINESTRING(-0.077473 51.51327, -0.077553 51.513246)",
"LINESTRING(-0.077553 51.513246, -0.077566 51.513243)",
"LINESTRING(-0.077566 51.513243, -0.077566 51.513243)",
"LINESTRING(-0.077566 51.513243, -0.077635 51.513227)",
"LINESTRING(-0.077635 51.513227, -0.077722 51.513203)",
"LINESTRING(-0.077722 51.513203, -0.077765 51.513138)",
